MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,13,,2.9981,1.6526,21.26,60.18,,
,,20,,3.0169,1.6428,21.13,59.9,,
,,27,,3.0693,1.6283,20.94,59.53,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1992,Jan,3,,3.0391,1.6294,20.95,59.8,,
,,10,,2.9811,1.6335,21.03,60.17,,
,,17,,2.9004,1.6491,21.24,60.98,,
,,24,,2.9154,1.6377,21.1,61.24,,
,,31,,2.9165,1.6353,21.06,62.2,,
,Feb,7,,2.9551,1.6266,20.96,62.35,,
,,14,,2.9001,1.6379,21.13,62.65,,
,,21,,2.8816,1.6441,21.18,63.45,,
,,28,,2.8946,1.6438,21.18,63.49,,
,Mar,6,,2.8441,1.6553,21.35,64.51,,
,,13,,2.8664,1.6804,21.69,65.31,,
,,20,,2.8447,1.665,21.5,64.28,,
,,27,,2.864,1.6642,21.5,64.25,,
,Apr,3,,2.8691,1.6575,21.41,64.16,,
,,10,,2.9249,1.6483,21.31,64.76,,
,,16,,2.9078,1.6575,21.43,65.95,,
,,24,,2.9302,1.6577,21.42,65.31,,
,,30,,2.9257,1.6553,21.34,65.46,,
,May,8,,2.9689,1.6503,21.32,65.46,,
,,15,,2.9761,1.6393,21.19,64.7,,
,,22,,2.9588,1.632,21.1,64.72,,
,,29,,2.991,1.634,21.09,64.8,,
,Jun,5,,2.9767,1.6275,21.03,64.5,,
,,12,,2.998,1.6225,20.98,64.38,,
,,19,,3.024,1.6228,20.98,64.47,,
,,26,,3.0687,1.6194,20.94,64.54,,
