MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2011,Jan,3,1.7088,1.9984,1.2858,16.54,41.96,2.9366,4.2647
,,4,1.7183,1.9925,1.2855,16.55,41.99,2.9447,4.2793
,,5,1.7132,2.0086,1.2896,16.6,42.03,2.9483,4.2819
,,6,1.7,2.0063,1.2934,16.64,42.1,2.9449,4.275
,,7,1.6851,2.0031,1.2964,16.68,42.26,2.9403,4.2828
,,10,1.6725,2.0146,1.2965,16.68,42.25,2.9303,4.2655
,,11,1.6814,2.0212,1.2985,16.69,42.21,2.9312,4.2338
,,12,1.681,2.0215,1.2925,16.62,42.2,2.9415,4.2502
,,13,1.6892,2.0301,1.2889,16.58,42.18,2.9217,4.2433
,,14,1.7178,2.039,1.2879,16.56,42.12,2.9125,4.2254
,,17,1.7215,2.0459,1.2906,16.6,42.21,2.906,4.2183
,,18,1.7119,2.0515,1.2885,16.57,42.11,2.8851,4.2073
,,19,1.7238,2.0527,1.2818,16.48,41.98,2.8879,4.2054
,,20,1.732,2.0529,1.2887,16.56,42.22,2.8976,4.217
,,21,1.7378,2.0504,1.2868,16.53,42.02,2.8982,4.2018
,,24,1.7467,2.0514,1.2848,16.48,42.01,2.8963,4.1728
,,25,1.7493,2.0499,1.2811,16.43,41.98,2.8804,4.1326
,,26,1.7525,2.0249,1.2807,16.44,41.94,2.8809,4.1507
,,27,1.7537,2.0365,1.2794,16.43,41.93,2.8982,4.1505
,,28,1.7555,2.0361,1.2814,16.45,41.94,2.906,4.1282
,,31,1.7491,2.0401,1.2865,16.5,42.05,2.9011,4.1267
,Feb,1,1.7549,2.0535,1.2787,16.41,41.77,2.8912,4.1415
,,2,1.7646,2.059,1.2735,16.35,41.84,2.8958,4.1341
,,7,1.7365,2.0578,1.2755,16.39,41.99,2.9191,4.1406
,,8,1.7346,2.0564,1.2746,16.38,42.02,2.9301,4.1518
,,9,1.7392,2.0468,1.2743,16.37,41.99,2.9348,4.1515
,,10,1.7487,2.054,1.2758,16.38,41.95,2.921,4.1506
,,11,1.74,2.0573,1.2809,16.44,42.07,2.9321,4.1567
,,14,1.7332,2.0573,1.2807,16.43,41.96,2.9236,4.1628
,,15,1.7306,2.0564,1.2806,16.43,41.94,2.9375,4.1713
,,16,1.7325,2.0686,1.2805,16.43,42,2.9373,4.1737
,,17,1.7383,2.0597,1.2787,16.42,42.01,2.9453,4.1753
,,18,1.7365,2.064,1.2763,16.39,41.99,2.9432,4.1675
,,21,1.7436,2.0696,1.2751,16.38,41.99,2.9353,4.1731
,,22,1.7404,2.0708,1.2815,16.45,42.01,2.9394,4.1845
,,23,1.7513,2.0688,1.2791,16.41,41.93,2.931,4.1794
,,24,1.7583,2.0742,1.2766,16.38,41.84,2.9213,4.1651
,,25,1.764,2.0611,1.2763,16.38,41.8,2.9123,4.1682
,,28,1.7507,2.0493,1.2738,16.35,41.74,2.9125,4.1621
,Mar,1,1.7554,2.0678,1.271,16.32,41.76,2.9208,4.155
,,2,1.7518,2.0678,1.2735,16.35,41.88,2.9225,4.1693
,,3,1.7586,2.0722,1.2689,16.28,41.84,2.9244,4.1603
,,4,1.7692,2.0635,1.2676,16.27,41.84,2.9271,4.1595
,,7,1.7713,2.0597,1.2672,16.27,41.79,2.9215,4.1588
,,8,1.7723,2.0531,1.2669,16.27,41.78,2.9235,4.1667
,,9,1.7633,2.0509,1.2693,16.3,41.86,2.9247,4.1836
,,10,1.7655,2.0581,1.2709,16.31,41.85,2.9253,4.1992
,,11,1.7574,2.044,1.2717,16.33,41.84,2.9211,4.1832
,,14,1.7689,2.0398,1.2705,16.31,41.8,2.9063,4.1807
,,15,1.7761,2.0565,1.2751,16.36,41.71,2.9069,4.1889
,,16,1.7861,2.0535,1.2787,16.4,41.81,2.9142,4.1973
,,17,1.7857,2.053,1.2823,16.43,41.86,2.9158,4.225
,,18,1.7917,2.0582,1.2728,16.32,41.81,2.9119,4.1986
,,21,1.7994,2.0586,1.2697,16.28,41.78,2.9142,4.1932
,,22,1.8011,2.0656,1.2664,16.24,41.74,2.919,4.1906
,,23,1.7929,2.0698,1.2648,16.23,41.74,2.9109,4.1791
,,24,1.7799,2.0529,1.2644,16.22,41.73,2.9114,4.1702
,,25,1.7867,2.0321,1.261,16.18,41.67,2.9092,4.1707
,,28,1.7749,2.022,1.2629,16.19,41.73,2.9133,4.1707
,,29,1.7794,2.0221,1.2635,16.2,41.71,2.9014,4.1665
,,30,1.7804,2.021,1.2636,16.22,41.75,2.9102,4.1634
,,31,1.7828,2.0296,1.2617,16.2,41.7,2.9048,4.162
,Apr,1,1.7873,2.0228,1.2616,16.21,41.67,2.9069,4.1664
,,4,1.7929,2.0337,1.2605,16.21,41.66,2.9094,4.1669
,,5,1.7907,2.0336,1.2613,16.22,41.66,2.9066,4.1765
,,6,1.798,2.0592,1.2606,16.22,41.67,2.9191,4.1728
,,7,1.8042,2.056,1.2605,16.22,41.65,2.9273,4.1821
,,8,1.809,2.0594,1.2574,16.19,41.6,2.9238,4.1858
,,11,1.8162,2.0556,1.256,16.17,41.59,2.9179,4.1832
,,12,1.8136,2.0536,1.2604,16.21,41.6,2.9102,4.1735
,,13,1.8212,2.0458,1.2581,16.18,41.52,2.9065,4.1721
,,14,1.8066,2.0362,1.2492,16.06,41.33,2.8897,4.1426
,,15,1.8009,2.0344,1.2445,16.01,41.2,2.88,4.127
,,18,1.7897,2.0286,1.2443,16,41.17,2.8753,4.1318
,,19,1.7781,2.0313,1.2497,16.06,41.25,2.8818,4.1491
,,20,1.786,2.0272,1.2408,15.95,41.14,2.8686,4.1326
,,21,1.8015,2.0328,1.2369,15.92,41.1,2.8649,4.1347
,,25,1.7963,2.0383,1.2355,15.9,41.24,2.8592,4.1259
,,26,1.7985,2.0371,1.2371,15.91,41.31,2.8577,4.1244
,,27,1.8073,2.0312,1.2309,15.84,41.32,2.8492,4.1133
,,28,1.8227,2.0507,1.226,15.78,41.39,2.8488,4.1038
,,29,1.8207,2.0444,1.2277,15.79,41.29,2.8681,4.1005
,May,3,1.8142,2.0368,1.2259,15.78,41.25,2.8632,4.0966
,,4,1.8208,2.0258,1.2302,15.83,41.28,2.8628,4.0945
,,5,1.829,2.0334,1.231,15.84,41.21,2.8665,4.1068
,,6,1.7977,2.025,1.235,15.89,41.16,2.8663,4.0901
,,9,1.7727,2.0179,1.2308,15.84,41.26,2.8677,4.0782
,,10,1.7673,2.0221,1.2332,15.86,41.23,2.8709,4.0868
,,11,1.7709,2.014,1.2303,15.83,41.27,2.8707,4.0908
,,12,1.7586,2.0244,1.2362,15.9,41.26,2.8762,4.0927
,,13,1.7657,2.0205,1.2437,16,41.29,2.8759,4.1148
,,16,1.7607,2.022,1.2497,16.07,41.14,2.8808,4.1251
,,18,1.7721,2.0202,1.2415,15.97,40.96,2.8728,4.1062
,,19,1.7689,2.0031,1.2378,15.92,40.95,2.8698,4.0953
,,20,1.7686,2.0053,1.2358,15.9,40.98,2.8643,4.0833
,,23,1.7525,2.0174,1.2446,16.01,40.87,2.8717,4.0988
,,24,1.7531,2.0096,1.2473,16.04,40.84,2.8723,4.1036
,,25,1.7555,2.0201,1.2489,16.06,40.81,2.8727,4.1022
,,26,1.7599,2.0288,1.244,15.98,40.87,2.8619,4.0921
,,27,1.7639,2.0329,1.2361,15.88,40.88,2.853,4.0748
,,30,1.7633,2.0339,1.234,15.86,40.91,2.8502,4.0706
,,31,1.772,2.0391,1.2328,15.85,40.94,2.8474,4.0686
,Jun,1,1.7741,2.0258,1.2303,15.82,40.92,2.8469,4.0611
,,2,1.7778,2.0223,1.2383,15.91,40.94,2.8658,4.0861
,,3,1.7858,2.0145,1.2327,15.85,40.92,2.8525,4.0636
,,6,1.7986,2.0197,1.2287,15.8,40.99,2.8459,4.0598
,,7,1.7974,2.0125,1.2314,15.83,40.88,2.85,4.0627
,,8,1.8031,2.0198,1.2303,15.81,40.82,2.8479,4.0597
,,9,1.8001,2.021,1.2314,15.82,40.77,2.8462,4.0473
,,10,1.786,2.0116,1.2302,15.81,40.78,2.8421,4.046
,,13,1.775,2.0096,1.2384,15.91,40.71,2.8538,4.067
,,14,1.7785,2.0225,1.2327,15.84,40.69,2.8446,4.0496
,,15,1.7756,2.0167,1.2324,15.83,40.67,2.8432,4.0453
,,16,1.7587,2.0097,1.2387,15.9,40.71,2.8505,4.0474
,,17,1.7553,1.9977,1.2381,15.87,40.63,2.8397,4.0481
,,20,1.7638,1.9979,1.2368,15.87,40.71,2.8334,4.0451
,,21,1.7725,2.0049,1.2364,15.87,40.71,2.8374,4.0432
,,22,1.7717,2.0004,1.2335,15.83,40.7,2.8438,4.0476
,,23,1.7668,1.9818,1.2353,15.86,40.7,2.8407,4.0508
,,24,1.7613,1.9792,1.2353,15.86,40.68,2.8472,4.029
,,27,1.7555,1.9792,1.2423,15.95,40.63,2.8496,4.0289
,,28,1.7755,1.9835,1.2422,15.95,40.69,2.8507,4.0175
,,29,1.7774,1.9804,1.2385,15.91,40.75,2.8465,4.0146
,,30,1.7838,1.9802,1.2292,15.79,40.72,2.8345,4.0007
,Jul,1,1.7795,1.9697,1.2282,15.78,40.75,2.8386,3.9909
,,4,1.7827,1.9691,1.2244,15.73,40.8,2.8437,4.021
,,5,1.7784,1.9701,1.2277,15.78,40.81,2.8482,4.0299
,,6,1.7731,1.973,1.2266,15.76,40.8,2.8625,4.0269
,,7,1.7568,1.9621,1.2263,15.75,40.73,2.8615,4.0465
,,8,1.754,1.9503,1.2224,15.71,40.79,2.8582,4.0403
,,11,1.7337,1.9555,1.2214,15.69,40.65,2.8468,4.0357
,,12,1.7144,1.9492,1.2282,15.76,40.54,2.8472,4.0361
,,13,1.7154,1.9515,1.2245,15.71,40.53,2.8434,4.0479
,,14,1.7309,1.9661,1.2178,15.63,40.49,2.8362,4.0405
,,15,1.7246,1.9655,1.2168,15.62,40.51,2.8347,4.0405
,,18,1.7156,1.9631,1.2196,15.65,40.47,2.8353,4.0485
,,19,1.7169,1.9559,1.2169,15.61,40.4,2.8323,4.0631
,,20,1.7193,1.9591,1.2149,15.59,40.45,2.8401,4.0666
,,21,1.7303,1.9607,1.2135,15.57,40.51,2.8469,4.0606
,,22,1.7417,1.9736,1.2105,15.54,40.57,2.8525,4.058
,,25,1.7384,1.9707,1.2089,15.52,40.63,2.8482,4.0547
,,26,1.7446,1.9685,1.2048,15.47,40.68,2.8479,4.0579
,,27,1.742,1.9732,1.2009,15.42,40.87,2.8508,4.0441
,,28,1.728,1.9662,1.2036,15.45,40.75,2.8504,4.0532
,,29,1.7272,1.9697,1.2041,15.45,40.75,2.8543,4.0522
,Aug,1,1.728,1.976,1.2015,15.42,40.86,2.8655,4.0461
,,2,1.715,1.9623,1.2035,15.44,40.78,2.8604,4.0454
,,3,1.7167,1.9678,1.2087,15.5,40.64,2.8564,4.0588
,,4,1.7278,1.9792,1.2081,15.49,40.62,2.857,4.0567
,,5,1.722,1.9863,1.2218,15.66,40.58,2.8664,4.0788
,,8,1.741,1.9944,1.217,15.59,40.4,2.8535,4.0853
,,10,1.7379,1.9726,1.2113,15.52,40.22,2.8515,4.0634
,,11,1.727,1.9651,1.2146,15.57,40.32,2.8575,4.0608
,,12,1.7209,1.9657,1.213,15.56,40.49,2.8474,4.0555
,,15,1.7248,1.965,1.207,15.48,40.45,2.842,4.0381
,,16,1.7357,1.9685,1.2025,15.44,40.45,2.8398,4.0359
,,17,1.7341,1.9793,1.205,15.46,40.46,2.8382,4.0314
,,18,1.7381,1.9938,1.2066,15.49,40.54,2.8397,4.0382
,,19,1.7368,2.0002,1.2132,15.55,40.62,2.8481,4.0602
,,22,1.7385,1.9945,1.2104,15.52,40.69,2.8422,4.0577
,,23,1.7347,1.9892,1.2069,15.47,40.58,2.8467,4.0446
,,24,1.736,1.9884,1.2054,15.46,40.55,2.8429,4.0341
,,25,1.7415,1.9788,1.2086,15.5,40.48,2.8401,4.0367
,,26,1.7388,1.9684,1.2068,15.48,40.35,2.8379,4.02
,,29,1.7491,1.9764,1.2076,15.49,40.52,2.8528,4.0267
,,31,1.7391,1.9652,1.2046,15.45,40.38,2.8434,4.012
,Sep,1,1.729,1.953,1.2032,15.46,40.34,2.8508,4.0154
,,2,1.7178,1.9497,1.2047,15.47,40.56,2.8524,4.0197
,,5,1.7084,1.9515,1.2058,15.47,40.55,2.8555,4.0287
,,6,1.7015,1.9446,1.2086,15.51,40.49,2.8584,4.0408
,,7,1.6974,1.932,1.2084,15.5,40.5,2.8583,4.0354
,,8,1.7,1.9303,1.2096,15.52,40.47,2.8523,4.0286
,,9,1.6926,1.9427,1.2155,15.59,40.58,2.8597,4.0463
,,12,1.6749,1.954,1.2328,15.81,40.76,2.8854,4.0916
,,13,1.6887,1.9573,1.2338,15.82,40.51,2.8837,4.0936
,,14,1.702,1.968,1.2492,16.01,40.57,2.888,4.131
,,15,1.7119,1.9655,1.2462,15.99,40.39,2.8771,4.1156
,,16,1.7181,1.9593,1.2396,15.92,40.13,2.8661,4.0877
,,19,1.7195,1.9753,1.2583,16.14,40.51,2.8953,4.1303
,,20,1.729,1.9901,1.2697,16.29,40.45,2.9078,4.1433
,,21,1.7292,1.9836,1.2607,16.18,40.54,2.9025,4.1477
,,22,1.7437,1.9907,1.2874,16.51,40.88,2.9436,4.1983
,,23,1.7593,2.0028,1.2999,16.67,40.88,2.9641,4.2218
,,26,1.7469,2.0154,1.3044,16.72,40.91,2.9791,4.201
,,27,1.7432,2.0063,1.2885,16.53,40.86,2.9679,4.1611
,,28,1.7494,2.0165,1.2908,16.55,40.78,2.9622,4.1659
,,29,1.7636,2.0235,1.2957,16.63,40.68,2.9711,4.1496
,,30,1.7593,2.0273,1.3003,16.68,40.76,2.9662,4.1716
,Oct,3,1.7508,2.0406,1.314,16.87,40.95,2.9786,4.1961
,,4,1.7375,2.032,1.3166,16.91,41,2.9823,4.2145
,,5,1.7378,2.0185,1.3078,16.8,41,2.9746,4.2024
,,6,1.7388,2.0124,1.3043,16.76,40.96,2.9809,4.1898
,,7,1.7389,2.002,1.2943,16.63,41,2.971,4.19
,,10,1.7374,2.0143,1.291,16.59,41.11,2.9709,4.1706
,,11,1.7437,1.9985,1.2792,16.44,40.99,2.9577,4.1411
,,12,1.7533,2.0048,1.2878,16.55,40.82,2.9554,4.1522
,,13,1.7603,2.0098,1.2763,16.41,40.69,2.9476,4.1411
,,14,1.7511,2.003,1.2722,16.36,40.52,2.9296,4.1205
,,17,1.752,1.999,1.2656,16.27,40.56,2.9266,4.1231
,,18,1.7472,2.0031,1.2672,16.29,40.65,2.9357,4.1331
,,19,1.7437,1.9893,1.2642,16.26,40.61,2.9277,4.1253
,,20,1.7436,1.9995,1.2701,16.33,40.6,2.935,4.1057
,,21,1.7643,2.0234,1.2808,16.46,40.56,2.9472,4.1203
,,24,1.7641,2.0289,1.271,16.34,40.62,2.9355,4.1086
,,25,1.7559,2.0186,1.262,16.23,40.38,2.9237,4.0894
,,27,1.7647,2.0232,1.2641,16.27,40.38,2.934,4.1062
,,28,1.7633,2.0012,1.2444,16.02,40.49,2.9192,4.0747
,,31,1.7518,1.9969,1.2502,16.1,40.68,2.9323,4.0677
,Nov,1,1.7432,2.0239,1.2587,16.2,40.64,2.9523,4.084
,,2,1.7469,2.0344,1.2731,16.38,40.71,2.9683,4.1361
,,3,1.7529,2.0358,1.2793,16.46,40.65,2.9801,4.1475
,,4,1.7498,2.0304,1.2676,16.32,40.6,2.9505,4.1351
,,8,1.7488,2.0398,1.2701,16.35,40.64,2.9527,4.1365
,,9,1.7562,2.0441,1.2695,16.34,40.8,2.9506,4.1433
,,10,1.7502,2.0587,1.293,16.63,41.03,2.9861,4.1987
,,11,1.7563,2.0536,1.2889,16.57,40.9,2.9756,4.1813
,,14,1.7642,2.0584,1.2808,16.46,40.91,2.9636,4.1625
,,15,1.7544,2.0472,1.2878,16.55,40.97,2.971,4.1818
,,16,1.7454,2.0456,1.2969,16.66,40.97,2.9814,4.2039
,,17,1.7421,2.0341,1.293,16.61,40.93,2.9762,4.1892
,,18,1.7482,2.0447,1.2957,16.64,40.99,2.9886,4.1804
,,21,1.7583,2.0462,1.2994,16.68,40.96,2.9982,4.1889
,,22,1.7575,2.0373,1.3032,16.73,40.88,3.008,4.1783
,,23,1.7582,2.0383,1.3055,16.75,41.03,3.0108,4.1769
,,24,1.7488,2.0335,1.3071,16.77,41.03,2.9948,4.1674
,,25,1.7457,2.0281,1.3111,16.82,41.07,2.9917,4.1962
,,28,1.7354,2.024,1.3053,16.75,40.84,2.9761,4.1703
,,29,1.7325,2.0143,1.2993,16.67,40.81,2.9783,4.1458
,,30,1.7257,2.0204,1.2956,16.63,40.84,2.9688,4.1506
,Dec,1,1.7274,2.0149,1.2843,16.52,40.83,2.9669,4.1489
,,2,1.7294,2.0143,1.2853,16.54,41.06,2.9697,4.1629
,,5,1.7213,2.003,1.2831,16.51,40.87,2.9616,4.1646
,,6,1.7182,2.0079,1.2849,16.53,40.95,2.9587,4.1596
,,7,1.7213,2.0019,1.2828,16.5,41.01,2.9588,4.1663
,,8,1.7242,2.0208,1.2869,16.55,41.07,2.9693,4.185
,,9,1.7307,2.0292,1.2995,16.7,41.16,2.9815,4.2096
,,12,1.7274,2.0239,1.2943,16.64,41.07,2.9728,4.1806
,,13,1.7163,2.0302,1.3004,16.71,40.91,2.9639,4.1733
,,14,1.7016,2.0213,1.3055,16.78,40.97,2.9566,4.1776
,,15,1.7029,2.0271,1.3104,16.83,40.99,2.9637,4.1772
,,16,1.6989,2.0244,1.3033,16.75,41.01,2.9725,4.1586
,,19,1.697,2.0216,1.3069,16.79,41.13,2.9682,4.1767
,,20,1.6992,2.028,1.3066,16.79,40.97,2.9743,4.1758
,,21,1.6967,2.0278,1.2938,16.63,40.82,2.9623,4.1455
,,22,1.6897,2.0295,1.2953,16.65,40.77,2.9634,4.135
,,23,1.6882,2.0261,1.2911,16.59,40.91,2.9691,4.1262
,,27,1.6931,2.0222,1.2953,16.65,41,2.9631,4.1212
,,28,1.6969,2.033,1.2983,16.7,40.93,2.9544,4.1196
,,29,1.6819,2.0099,1.3006,16.73,40.92,2.9677,4.099
,,30,1.6835,2.0048,1.3007,16.74,40.94,2.9669,4.098
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2012,Jan,3,1.6769,2.0073,1.2925,16.64,41.01,2.9519,4.1071
,,4,1.6781,2.0134,1.2874,16.57,41.01,2.9423,4.0915
,,5,1.6656,2.0105,1.2883,16.59,41.03,2.933,4.0859
,,6,1.6538,2.0038,1.2923,16.64,41.01,2.9301,4.0844
,,9,1.6485,2.0021,1.2994,16.73,41.13,2.9329,4.083
,,10,1.6486,1.9975,1.2912,16.62,41.14,2.9369,4.0713
,,11,1.6472,1.9978,1.2925,16.64,41.08,2.9378,4.0709
,,12,1.6443,1.9813,1.2928,16.64,41.15,2.9382,4.0629
,,13,1.6515,1.9758,1.2882,16.58,41.1,2.9371,4.0509
,,16,1.6351,1.9794,1.2926,16.64,41.08,2.9421,4.0501
,,17,1.6372,1.9756,1.2862,16.56,41.05,2.9416,4.0364
,,18,1.6388,1.9683,1.282,16.51,41.11,2.9454,4.034
,,19,1.6443,1.973,1.2777,16.46,41.2,2.9484,4.0268
,,20,1.6511,1.9726,1.2736,16.41,41.02,2.941,4.0348
,,25,1.6495,1.9782,1.2668,16.32,41.09,2.9396,4.0184
,,26,1.6493,1.9704,1.2584,16.22,41.4,2.9344,4.0153
,,27,1.6486,1.9714,1.2581,16.22,41.37,2.9364,4.0195
,,30,1.6534,1.9706,1.2542,16.17,41.22,2.9171,4.0334
,,31,1.6541,1.9741,1.2547,16.18,41.2,2.9254,4.0416
,Feb,1,1.6428,1.9803,1.2567,16.2,41.32,2.9321,4.0526
,,2,1.6431,1.9762,1.2465,16.07,41.25,2.9175,4.0353
,,3,1.639,1.9738,1.2484,16.09,41.3,2.9196,4.0349
,,6,1.6297,1.9641,1.2447,16.05,41.33,2.9198,4.0249
,,7,1.6344,1.9727,1.2481,16.1,41.45,2.9288,4.0333
,,8,1.6473,1.9765,1.2435,16.04,41.4,2.9408,4.0354
,,9,1.651,1.9691,1.2447,16.05,41.39,2.9506,4.0491
,,10,1.665,1.9829,1.2553,16.18,41.38,2.9568,4.0704
,,13,1.6621,1.9813,1.2547,16.18,41.49,2.9568,4.0678
,,14,1.6624,1.9849,1.2636,16.29,41.47,2.961,4.092
,,15,1.6574,1.9784,1.2585,16.23,41.47,2.9501,4.0801
,,16,1.6499,1.9854,1.2665,16.33,41.46,2.9581,4.1067
,,17,1.6559,1.9929,1.2609,16.26,41.36,2.9553,4.0912
,,20,1.6559,1.9897,1.2532,16.16,41.48,2.9497,4.0748
,,21,1.6629,1.9867,1.2542,16.17,41.51,2.939,4.0754
,,22,1.6653,1.9862,1.2587,16.23,41.59,2.9405,4.1053
,,23,1.6687,1.9727,1.2588,16.23,41.61,2.9422,4.134
,,24,1.6758,1.9732,1.2533,16.16,41.67,2.9344,4.1309
,,27,1.6904,1.9938,1.2568,16.21,41.64,2.9238,4.1274
,,28,1.6825,1.9852,1.2532,16.16,41.62,2.9274,4.1197
,,29,1.6815,1.9874,1.2474,16.09,41.59,2.9203,4.1223
,Mar,1,1.6666,1.9893,1.2493,16.11,41.64,2.9227,4.0988
,,2,1.6614,1.991,1.2483,16.1,41.64,2.9248,4.0941
,,5,1.6582,1.9881,1.2568,16.19,41.67,2.933,4.0978
,,6,1.665,2.0002,1.2614,16.25,41.71,2.9366,4.1075
,,7,1.6581,1.9845,1.2616,16.25,41.64,2.9341,4.1021
,,8,1.6552,1.9791,1.2564,16.18,41.64,2.9458,4.1025
,,9,1.661,1.9806,1.2522,16.14,41.69,2.945,4.1015
,,12,1.6493,1.9737,1.2594,16.23,41.64,2.9518,4.1103
,,13,1.6555,1.9663,1.2558,16.19,41.55,2.9475,4.1046
,,14,1.6481,1.978,1.2607,16.24,41.5,2.9521,4.1099
,,15,1.6513,1.9839,1.2674,16.33,41.43,2.9413,4.1129
,,16,1.6498,1.9807,1.2598,16.23,41.28,2.9363,4.1002
,,19,1.6565,1.992,1.2579,16.21,41.2,2.9274,4.0994
,,20,1.6655,1.9969,1.2583,16.21,41.13,2.9331,4.0914
,,21,1.6756,2.0056,1.2629,16.27,40.92,2.9319,4.101
,,22,1.6721,2.0055,1.2637,16.28,41.03,2.9324,4.1056
,,23,1.6678,1.998,1.2628,16.26,41.03,2.9323,4.106
,,26,1.6721,2.0002,1.2606,16.23,41.06,2.9357,4.0995
,,27,1.6806,2.0093,1.2588,16.21,41.01,2.9298,4.0983
,,28,1.6753,2.0056,1.2568,16.19,41.01,2.9242,4.0865
,,29,1.676,2.0006,1.2577,16.2,40.99,2.9239,4.0788
,,30,1.6782,2.0083,1.2572,16.19,40.98,2.9258,4.0745
,Apr,2,1.6743,2.0066,1.2553,16.17,41.07,2.9305,4.0697
,,3,1.6698,2.0074,1.2515,16.12,41.07,2.9337,4.0613
,,4,1.6589,1.9973,1.2571,16.19,41.06,2.9347,4.0617
,,5,1.6543,2.0001,1.2579,16.2,41.04,2.9425,4.0597
,,9,1.6462,1.9996,1.2608,16.23,41.03,2.9492,4.075
,,10,1.6532,2.0056,1.2595,16.22,41.06,2.9428,4.0682
,,11,1.6509,2.002,1.2608,16.24,41.12,2.9468,4.0697
,,12,1.6494,2.0009,1.2562,16.18,40.89,2.9426,4.0766
,,13,1.6445,1.9907,1.2485,16.08,40.81,2.9232,4.0615
,,16,1.6322,1.9835,1.2535,16.16,40.81,2.9301,4.0632
,,17,1.6405,1.9871,1.2508,16.12,40.8,2.9262,4.0558
,,18,1.6388,1.9891,1.2486,16.09,40.77,2.9286,4.0526
,,19,1.6422,2.0065,1.2519,16.13,40.81,2.9329,4.0488
,,20,1.6443,2.0091,1.2513,16.12,40.76,2.9311,4.0469
,,23,1.6478,2.0136,1.249,16.09,40.77,2.9305,4.0368
,,24,1.6419,2.0129,1.2486,16.09,40.66,2.9204,4.0251
,,25,1.6451,2.012,1.2466,16.06,40.69,2.9208,4.0265
,,26,1.6435,2.0094,1.2428,16.02,40.65,2.914,4.0201
,,27,1.6401,2.0112,1.243,16.02,40.75,2.9294,4.0279
,,30,1.6389,2.0149,1.2372,15.95,40.78,2.9297,4.0267
,May,2,1.6356,2.0068,1.2362,15.94,40.89,2.9336,4.0169
,,3,1.632,2.0097,1.2415,16,40.95,2.9414,4.0178
,,4,1.6342,2.0108,1.2421,16.01,40.9,2.9409,4.0158
,,7,1.6207,2.0131,1.2485,16.08,40.78,2.9446,4.0287
,,8,1.6237,2.0154,1.2462,16.05,40.81,2.943,4.0226
,,9,1.6217,2.0177,1.2506,16.11,40.76,2.9488,4.029
,,10,1.6189,2.0179,1.2508,16.11,40.76,2.9455,4.0206
,,11,1.6172,2.0177,1.2513,16.12,40.74,2.9481,4.0177
,,14,1.615,2.0127,1.2528,16.13,40.72,2.9398,4.009
,,15,1.6125,2.0226,1.2569,16.18,40.75,2.9396,4.0061
,,16,1.6117,2.023,1.2668,16.31,40.73,2.9522,4.0241
,,17,1.611,2.0124,1.2637,16.27,40.67,2.9453,4.0271
,,18,1.6164,2.0102,1.2751,16.41,40.69,2.9513,4.0576
,,21,1.6256,2.0117,1.2705,16.36,40.6,2.9427,4.0617
,,22,1.6197,2.0032,1.2667,16.31,40.59,2.9346,4.0489
,,23,1.6182,2.0129,1.2772,16.45,40.7,2.9459,4.054
,,24,1.6042,2.0005,1.275,16.42,40.57,2.9287,4.0374
,,25,1.6052,2.0056,1.2814,16.51,40.45,2.9153,4.0423
,,28,1.6056,2.0026,1.2748,16.42,40.56,2.9269,4.0291
,,29,1.602,2.0033,1.2781,16.47,40.47,2.9287,4.0319
,,30,1.5957,1.9984,1.2798,16.48,40.51,2.9414,4.0245
,,31,1.5936,1.9932,1.2882,16.59,40.49,2.9499,4.0345
,Jun,1,1.5898,1.9797,1.2877,16.59,40.44,2.9609,4.0456
,,4,1.6001,1.9819,1.2896,16.62,40.33,2.9649,4.0797
,,5,1.6107,1.98,1.2864,16.58,40.28,2.9617,4.0715
,,6,1.6006,1.9757,1.2805,16.51,40.31,2.9573,4.0677
,,7,1.6029,1.9745,1.2757,16.44,40.28,2.9571,4.0524
,,8,1.6061,1.9863,1.2823,16.53,40.29,2.9666,4.0349
,,11,1.6127,1.9853,1.2768,16.46,40.37,2.9707,4.045
,,12,1.6027,1.9874,1.2831,16.54,40.31,2.986,4.0521
